"Larvae.age","Larvae.batch","Tray.Number","Cue","Settled","Shell","conspecific_cue","predator_cue"
33,"1","1a","conspecific shell",1,"Untreated","Absent","Absent"
33,"1","1a","conspecific shell",1,"Untreated","Absent","Absent"
33,"1","1b","conspecific shell_conspecific cue",1,"Untreated","Present","Absent"
33,"1","1b","conspecific shell_conspecific cue",1,"Untreated","Present","Absent"
33,"1","1b","conspecific shell_conspecific cue",1,"Untreated","Present","Absent"
33,"1","1b","conspecific shell_conspecific cue",1,"Untreated","Present","Absent"
33,"1","1b","conspecific shell_conspecific cue",1,"Untreated","Present","Absent"
33,"1","1b","conspecific shell_conspecific cue",1,"Untreated","Present","Absent"
33,"1","1c","conspecific shell_predator cue",1,"Untreated","Absent","Present"
33,"1","1c","conspecific shell_predator cue",1,"Untreated","Absent","Present"
33,"1","1c","conspecific shell_predator cue",1,"Untreated","Absent","Present"
33,"1","1c","conspecific shell_predator cue",1,"Untreated","Absent","Present"
33,"1","1d","steralized shell",1,"Sterilized","Absent","Absent"
33,"1","1e","steralized shell_conspecific cue",1,"Sterilized","Present","Absent"
33,"1","1f","steralized shell_conspecific cue_predator cue",1,"Sterilized","Present","Present"
33,"1","1f","steralized shell_conspecific cue_predator cue",1,"Sterilized","Present","Present"
33,"1","1f","steralized shell_conspecific cue_predator cue",1,"Sterilized","Present","Present"
33,"1","2b","conspecific shell_predator cue",1,"Untreated","Absent","Present"
33,"1","2b","conspecific shell_predator cue",1,"Untreated","Absent","Present"
33,"1","2b","conspecific shell_predator cue",1,"Untreated","Absent","Present"
33,"1","2b","conspecific shell_predator cue",1,"Untreated","Absent","Present"
33,"1","2c","conspecific shell_conspecific cue",1,"Untreated","Present","Absent"
33,"1","2c","conspecific shell_conspecific cue",1,"Untreated","Present","Absent"
33,"1","2c","conspecific shell_conspecific cue",1,"Untreated","Present","Absent"
33,"1","2c","conspecific shell_conspecific cue",1,"Untreated","Present","Absent"
33,"1","2e","steralized shell_conspecific cue_predator cue",1,"Sterilized","Present","Present"
33,"1","3a","steralized shell_conspecific cue",1,"Sterilized","Present","Absent"
33,"1","3a","steralized shell_conspecific cue",1,"Sterilized","Present","Absent"
33,"1","3a","steralized shell_conspecific cue",1,"Sterilized","Present","Absent"
33,"1","3b","conspecific shell",1,"Untreated","Absent","Absent"
33,"1","3e","steralized shell_conspecific cue",1,"Sterilized","Present","Absent"
33,"1","3e","steralized shell_conspecific cue",1,"Sterilized","Present","Absent"
33,"1","3f","conspecific shell",1,"Untreated","Absent","Absent"
33,"1","3f","conspecific shell",1,"Untreated","Absent","Absent"
33,"1","3f","conspecific shell",1,"Untreated","Absent","Absent"
33,"1","3f","conspecific shell",1,"Untreated","Absent","Absent"
33,"1","3f","conspecific shell",1,"Untreated","Absent","Absent"
33,"1","3f","conspecific shell",1,"Untreated","Absent","Absent"
33,"1","4a","conspecific shell_predator cue",1,"Untreated","Absent","Present"
33,"1","4a","conspecific shell_predator cue",1,"Untreated","Absent","Present"
33,"1","4a","conspecific shell_predator cue",1,"Untreated","Absent","Present"
33,"1","4a","conspecific shell_predator cue",1,"Untreated","Absent","Present"
33,"1","4b","conspecific shell_conspecific cue",1,"Untreated","Present","Absent"
33,"1","4b","conspecific shell_conspecific cue",1,"Untreated","Present","Absent"
33,"1","4b","conspecific shell_conspecific cue",1,"Untreated","Present","Absent"
33,"1","4b","conspecific shell_conspecific cue",1,"Untreated","Present","Absent"
33,"1","4b","conspecific shell_conspecific cue",1,"Untreated","Present","Absent"
33,"1","4b","conspecific shell_conspecific cue",1,"Untreated","Present","Absent"
33,"1","4c","steralized shell",1,"Sterilized","Absent","Absent"
33,"1","4c","steralized shell",1,"Sterilized","Absent","Absent"
33,"1","4d","steralized shell_conspecific cue",1,"Sterilized","Present","Absent"
33,"1","4d","steralized shell_conspecific cue",1,"Sterilized","Present","Absent"
33,"1","4d","steralized shell_conspecific cue",1,"Sterilized","Present","Absent"
33,"1","4e","conspecific shell",1,"Untreated","Absent","Absent"
33,"1","4e","conspecific shell",1,"Untreated","Absent","Absent"
33,"1","4e","conspecific shell",1,"Untreated","Absent","Absent"
33,"1","4e","conspecific shell",1,"Untreated","Absent","Absent"
33,"1","4e","conspecific shell",1,"Untreated","Absent","Absent"
33,"1","4f","conspecific shell_predator cue",1,"Untreated","Absent","Present"
33,"1","4f","conspecific shell_predator cue",1,"Untreated","Absent","Present"
33,"1","4f","conspecific shell_predator cue",1,"Untreated","Absent","Present"
33,"1","4f","conspecific shell_predator cue",1,"Untreated","Absent","Present"
33,"1","5d","steralized shell_conspecific cue_predator cue",1,"Sterilized","Present","Present"
33,"1","5d","steralized shell_conspecific cue_predator cue",1,"Sterilized","Present","Present"
33,"1","5e","conspecific shell_conspecific cue",1,"Untreated","Present","Absent"
33,"1","5e","conspecific shell_conspecific cue",1,"Untreated","Present","Absent"
33,"1","5e","conspecific shell_conspecific cue",1,"Untreated","Present","Absent"
33,"1","5e","conspecific shell_conspecific cue",1,"Untreated","Present","Absent"
33,"1","5e","conspecific shell_conspecific cue",1,"Untreated","Present","Absent"
33,"1","5e","conspecific shell_conspecific cue",1,"Untreated","Present","Absent"
33,"1","5f","conspecific shell",1,"Untreated","Absent","Absent"
33,"1","5f","conspecific shell",1,"Untreated","Absent","Absent"
33,"1","5f","conspecific shell",1,"Untreated","Absent","Absent"
33,"1","5f","conspecific shell",1,"Untreated","Absent","Absent"
33,"1","5f","conspecific shell",1,"Untreated","Absent","Absent"
33,"1","6d","conspecific shell_predator cue",1,"Untreated","Absent","Present"
33,"1","6d","conspecific shell_predator cue",1,"Untreated","Absent","Present"
33,"1","6d","conspecific shell_predator cue",1,"Untreated","Absent","Present"
33,"1","6d","conspecific shell_predator cue",1,"Untreated","Absent","Present"
33,"1","6d","conspecific shell_predator cue",1,"Untreated","Absent","Present"
33,"1","6d","conspecific shell_predator cue",1,"Untreated","Absent","Present"
33,"1","6e","steralized shell_conspecific cue",1,"Sterilized","Present","Absent"
33,"1","7a","conspecific shell_predator cue",1,"Untreated","Absent","Present"
33,"1","7a","conspecific shell_predator cue",1,"Untreated","Absent","Present"
33,"1","7a","conspecific shell_predator cue",1,"Untreated","Absent","Present"
33,"1","7a","conspecific shell_predator cue",1,"Untreated","Absent","Present"
33,"1","7b","conspecific shell",1,"Untreated","Absent","Absent"
33,"1","7b","conspecific shell",1,"Untreated","Absent","Absent"
33,"1","7b","conspecific shell",1,"Untreated","Absent","Absent"
33,"1","7b","conspecific shell",1,"Untreated","Absent","Absent"
33,"1","7b","conspecific shell",1,"Untreated","Absent","Absent"
33,"1","7b","conspecific shell",1,"Untreated","Absent","Absent"
33,"1","7f","conspecific shell_conspecific cue",1,"Untreated","Present","Absent"
33,"1","7f","conspecific shell_conspecific cue",1,"Untreated","Present","Absent"
33,"1","7f","conspecific shell_conspecific cue",1,"Untreated","Present","Absent"
33,"1","7f","conspecific shell_conspecific cue",1,"Untreated","Present","Absent"
33,"1","7f","conspecific shell_conspecific cue",1,"Untreated","Present","Absent"
33,"1","7f","conspecific shell_conspecific cue",1,"Untreated","Present","Absent"
33,"1","8a","steralized shell_conspecific cue",1,"Sterilized","Present","Absent"
33,"1","8a","steralized shell_conspecific cue",1,"Sterilized","Present","Absent"
33,"1","8a","steralized shell_conspecific cue",1,"Sterilized","Present","Absent"
33,"1","8a","steralized shell_conspecific cue",1,"Sterilized","Present","Absent"
33,"1","8c","conspecific shell",1,"Untreated","Absent","Absent"
33,"1","8c","conspecific shell",1,"Untreated","Absent","Absent"
33,"1","8c","conspecific shell",1,"Untreated","Absent","Absent"
33,"1","8d","conspecific shell_conspecific cue",1,"Untreated","Present","Absent"
33,"1","8d","conspecific shell_conspecific cue",1,"Untreated","Present","Absent"
33,"1","8d","conspecific shell_conspecific cue",1,"Untreated","Present","Absent"
33,"1","8d","conspecific shell_conspecific cue",1,"Untreated","Present","Absent"
33,"1","8d","conspecific shell_conspecific cue",1,"Untreated","Present","Absent"
33,"1","8d","conspecific shell_conspecific cue",1,"Untreated","Present","Absent"
33,"1","9a","conspecific shell_predator cue",1,"Untreated","Absent","Present"
33,"1","9a","conspecific shell_predator cue",1,"Untreated","Absent","Present"
33,"1","9a","conspecific shell_predator cue",1,"Untreated","Absent","Present"
33,"1","9a","conspecific shell_predator cue",1,"Untreated","Absent","Present"
33,"1","9d","conspecific shell_predator cue",1,"Untreated","Absent","Present"
33,"1","9d","conspecific shell_predator cue",1,"Untreated","Absent","Present"
33,"1","9d","conspecific shell_predator cue",1,"Untreated","Absent","Present"
33,"1","9d","conspecific shell_predator cue",1,"Untreated","Absent","Present"
33,"1","9d","conspecific shell_predator cue",1,"Untreated","Absent","Present"
33,"1","9d","conspecific shell_predator cue",1,"Untreated","Absent","Present"
33,"1","9e","conspecific shell_conspecific cue",1,"Untreated","Present","Absent"
33,"1","9e","conspecific shell_conspecific cue",1,"Untreated","Present","Absent"
33,"1","9e","conspecific shell_conspecific cue",1,"Untreated","Present","Absent"
33,"1","9e","conspecific shell_conspecific cue",1,"Untreated","Present","Absent"
33,"1","9e","conspecific shell_conspecific cue",1,"Untreated","Present","Absent"
33,"1","9e","conspecific shell_conspecific cue",1,"Untreated","Present","Absent"
33,"1","9f","steralized shell_conspecific cue",1,"Sterilized","Present","Absent"
33,"1","9f","steralized shell_conspecific cue",1,"Sterilized","Present","Absent"
33,"1","10b","steralized shell_predator cue",1,"Sterilized","Absent","Present"
33,"1","10c","conspecific shell",1,"Untreated","Absent","Absent"
33,"1","10c","conspecific shell",1,"Untreated","Absent","Absent"
33,"1","10c","conspecific shell",1,"Untreated","Absent","Absent"
33,"1","10c","conspecific shell",1,"Untreated","Absent","Absent"
33,"1","10c","conspecific shell",1,"Untreated","Absent","Absent"
33,"1","10e","steralized shell_conspecific cue",1,"Sterilized","Present","Absent"
25,"2","11a","conspecific shell_predator cue",1,"Untreated","Absent","Present"
25,"2","11a","conspecific shell_predator cue",1,"Untreated","Absent","Present"
25,"2","11e","conspecific shell_conspecific cue",1,"Untreated","Present","Absent"
25,"2","11e","conspecific shell_conspecific cue",1,"Untreated","Present","Absent"
25,"2","11e","conspecific shell_conspecific cue",1,"Untreated","Present","Absent"
25,"2","11e","conspecific shell_conspecific cue",1,"Untreated","Present","Absent"
25,"2","11e","conspecific shell_conspecific cue",1,"Untreated","Present","Absent"
25,"2","11f","conspecific shell_predator cue",1,"Untreated","Absent","Present"
25,"2","11f","conspecific shell_predator cue",1,"Untreated","Absent","Present"
25,"2","11f","conspecific shell_predator cue",1,"Untreated","Absent","Present"
25,"2","12a","conspecific shell",1,"Untreated","Absent","Absent"
25,"2","12a","conspecific shell",1,"Untreated","Absent","Absent"
25,"2","12a","conspecific shell",1,"Untreated","Absent","Absent"
25,"2","12c","steralized shell",1,"Sterilized","Absent","Absent"
25,"2","12f","steralized shell_conspecific cue_predator cue",1,"Sterilized","Present","Present"
25,"2","13b","conspecific shell",1,"Untreated","Absent","Absent"
25,"2","13d","conspecific shell_predator cue",1,"Untreated","Absent","Present"
25,"2","13d","conspecific shell_predator cue",1,"Untreated","Absent","Present"
25,"2","13e","conspecific shell_conspecific cue",1,"Untreated","Present","Absent"
25,"2","13e","conspecific shell_conspecific cue",1,"Untreated","Present","Absent"
25,"2","13e","conspecific shell_conspecific cue",1,"Untreated","Present","Absent"
25,"2","13e","conspecific shell_conspecific cue",1,"Untreated","Present","Absent"
25,"2","14a","conspecific shell_conspecific cue",1,"Untreated","Present","Absent"
25,"2","14a","conspecific shell_conspecific cue",1,"Untreated","Present","Absent"
25,"2","14a","conspecific shell_conspecific cue",1,"Untreated","Present","Absent"
25,"2","14a","conspecific shell_conspecific cue",1,"Untreated","Present","Absent"
25,"2","14a","conspecific shell_conspecific cue",1,"Untreated","Present","Absent"
25,"2","14b","conspecific shell_predator cue",1,"Untreated","Absent","Present"
25,"2","14b","conspecific shell_predator cue",1,"Untreated","Absent","Present"
25,"2","14b","conspecific shell_predator cue",1,"Untreated","Absent","Present"
25,"2","14b","conspecific shell_predator cue",1,"Untreated","Absent","Present"
25,"2","14f","conspecific shell",1,"Untreated","Absent","Absent"
25,"2","14f","conspecific shell",1,"Untreated","Absent","Absent"
25,"2","14f","conspecific shell",1,"Untreated","Absent","Absent"
25,"2","14f","conspecific shell",1,"Untreated","Absent","Absent"
25,"2","15c","conspecific shell_predator cue",1,"Untreated","Absent","Present"
25,"2","15c","conspecific shell_predator cue",1,"Untreated","Absent","Present"
25,"2","15c","conspecific shell_predator cue",1,"Untreated","Absent","Present"
25,"2","15c","conspecific shell_predator cue",1,"Untreated","Absent","Present"
25,"2","15c","conspecific shell_predator cue",1,"Untreated","Absent","Present"
25,"2","15d","conspecific shell",1,"Untreated","Absent","Absent"
25,"2","15d","conspecific shell",1,"Untreated","Absent","Absent"
25,"2","15f","conspecific shell_conspecific cue",1,"Untreated","Present","Absent"
25,"2","15f","conspecific shell_conspecific cue",1,"Untreated","Present","Absent"
25,"2","15f","conspecific shell_conspecific cue",1,"Untreated","Present","Absent"
25,"2","15f","conspecific shell_conspecific cue",1,"Untreated","Present","Absent"
25,"2","15f","conspecific shell_conspecific cue",1,"Untreated","Present","Absent"
25,"2","15f","conspecific shell_conspecific cue",1,"Untreated","Present","Absent"
25,"2","16a","steralized shell_conspecific cue",1,"Sterilized","Present","Absent"
25,"2","16a","steralized shell_conspecific cue",1,"Sterilized","Present","Absent"
25,"2","16b","conspecific shell",1,"Untreated","Absent","Absent"
25,"2","16b","conspecific shell",1,"Untreated","Absent","Absent"
